author,comment,published_at
@SonuKumar-fo2vg,"Best part of the episode is <a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=1"">0:01</a> to <a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=1431"">23:51</a>",2021-11-04T01:00:20Z
@parinaytibrewal1159,Daya is sometimes irritating,2021-11-01T03:54:46Z
@satishsharma5038,Petrol or liter sath me ho gaye. 😆😆😆😆😆,2021-10-29T04:17:03Z
@planb2467,Oscar winning performance by Jethalal 😂😂🔥🔥,2021-10-28T14:06:33Z
@Funnily_Serious,Jetha : Or idhar koi leakage nahi ho raha hai 😂😂😂😂,2021-10-27T18:35:40Z
@kingoffjayrajbarad,Sundar panoti😆😆😆😆😅😅😂😂😂,2021-10-27T16:08:13Z
@sandeepmahriya7645,Nice,2021-10-23T12:05:02Z
@Lovepreet-yt3fg,"At <a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=280"">4:40</a> &quot;legend hit that Spot&quot;",2021-10-22T00:34:10Z
@bhaveshkumarrajan7708,Are bhai missal ki baat kare rahe hai ye 😂😂😂😂😂😂😂,2021-10-21T18:29:37Z
@shaibazp2201,BlackBerry ka redcherry  kardiya😂😂😂😂,2021-10-20T11:35:14Z
@instagramreels-nd8jz,Jethala briliyant કેરેક્ટર😁❤️😁,2021-10-20T10:56:41Z
@multiverseofarj8348,😂😂😂😂😂,2021-10-20T05:35:03Z
@KundanKumar-gr6no,Popt🤣😂😂😂😂,2021-10-16T13:04:27Z
@harshitdhaker2657,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=1168"">19:28</a> 😂😂😂😂😂😂😂",2021-10-16T09:56:40Z
@harshitdhaker2657,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=716"">11:56</a> 😂😂😂😂😂😂😂😂😂😂😂😂",2021-10-16T09:49:19Z
@shivammishra7972,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=324"">5:24</a>",2021-10-12T17:06:31Z
@crackinterview9308,A,2021-10-12T09:09:55Z
@OmSagar-97,episode no.?,2021-10-11T14:35:03Z
@hartinder2776,haha,2021-10-10T11:26:22Z
@vasudevrojasara4626,👍👍👍👍👍,2021-10-08T16:06:05Z
@vikashsaroha220,Panoti ko call kiya h 😂😂,2021-10-08T10:58:47Z
@sanjaykumawat4668,Nice name penoti . Sunderlal topibaaj😂😂😂😅😅😂,2021-10-06T06:12:35Z
@himanshupareek7125,This show is really good,2021-09-30T15:23:35Z
@Celebritytraffic1,Vira aur Daya pagal,2021-09-30T06:36:53Z
@MohammadIrfanAnsari,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=679"">11:19</a> Sundar&#39;s anger expressions are way too damn funny!",2021-09-29T22:56:07Z
@EjajSayyad,9.20 😁😁,2021-09-29T11:10:15Z
@rudreshjoshi5804,ahmdavad jordar,2021-09-29T06:19:59Z
@cagalibmirza,ताजमहाल...,2021-09-29T04:05:21Z
@user-ib5yx7lj4u,लुक्खा पार्टी सुंदर 😀😀😀😀,2021-09-28T13:45:16Z
@user-ib5yx7lj4u,सुंदर तू अपनी बहन को ले क्यो नही जता 😀😀,2021-09-28T13:44:35Z
@aadilrajgarh2560,Jethalal se hi  show chalta h,2021-09-27T17:45:45Z
@aadildarvesh9982,One of the best episode,2021-09-27T15:52:32Z
@KTheme,71 likes 👍🏻👍🏻,2021-09-27T10:00:40Z
@sanjayindora1757,Idhar koi leakage nahi ha 😅,2021-09-26T10:58:51Z
@lazylion7017,"पनौती वाला सीन जबरदस्त था भाई,,😂😂",2021-09-25T04:31:35Z
@Titusrodrigues7,This Mehta and Jetalal are the real loafers of the show... always dominate others,2021-09-23T17:00:01Z
@UP21735,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=570"">9:30</a> Epic Dialogue, mind blowing, fantastic",2021-09-21T18:53:35Z
@ashishthapliyal9352,Its a family programme why you use babita an d jethalal  love story.,2021-09-19T16:16:52Z
@VIKRAM_SINGH93,Aur Idhar koi leakage ni ho rayi ai🤣🤣🤣🤣🤣🤣🤣🤣,2021-09-18T19:31:59Z
@jogsinghrajput3993,"Dimag khaliya aadmi, me ye to babita ho ke hath nahi uutaya 😃😃😃😄",2021-09-15T08:30:21Z
@nimaijit2478,sundar to chota hai na ?? to daya ko sundar n pala hai?? 😴😴😴,2021-09-14T04:40:45Z
@tikusharma4879,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=658"">10:58</a>",2021-09-08T19:07:09Z
@sujeets5696,Panoti 😂😂😂😂😂😂😂😂😂😂😂<br>Oh God wat a expression,2021-09-06T15:43:55Z
@gopalchandra8083,I dislike this vedeo due to add. Otherwise i love this progrm,2021-09-05T08:04:39Z
@dhurvilsinhchavda619,Jethalal,2021-08-09T08:25:58Z
@mohsinatal1782,10.35 watch,2021-08-07T20:37:36Z
@rpo898,"Hathi entry <a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=335"">5:35</a> 😂😂😂",2021-07-29T11:12:03Z
@abhijitroy2155,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=600"">10:00</a>",2021-07-26T04:12:34Z
@ramchandrarajak5854,😀😀😀😀😀😀,2021-07-25T03:40:47Z
@m_oldie,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=700"">11:40</a> <b>Old episodes were really gold !</b>",2021-07-20T05:28:50Z
@kabirsaxena5074,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=600"">10:00</a>",2021-07-18T04:32:08Z
@milanshah4,Episode number?,2021-07-17T21:00:49Z
@deepaksah7136,"Legend watch from <a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=692"">11:32</a>🤣😂🤣",2021-07-14T09:31:33Z
@mocambokhushhua3085,Bhagwan aisa sala kisi ko na de 🤣🤣🤣,2021-07-13T06:23:28Z
@prashantbhagat8617,Ye panoti kon hain...epic... 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2021-07-12T09:59:30Z
@prashantbhagat8617,Epic jabardast....hassi Ruk hi ni rahi... 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2021-07-12T09:54:37Z
@Mr.therealboss,This is episode number 250,2021-07-04T11:46:18Z
@milindshete4825,Berogjar  ke liye timepass karnewali serial.....totally time waste,2021-07-03T18:36:40Z
@hbxcammando3355,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=779"">12:59</a>",2021-07-03T18:32:14Z
@hbxcammando3355,12:60,2021-07-03T18:32:03Z
@hbxcammando3355,Lunñg 12:65,2021-07-03T18:31:53Z
@shahrulhaque4852,Bahut distub karta hai yeh parchar,2021-06-29T15:57:22Z
@hkytgaming7362,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=1156"">19:16</a> 😂😂🤣🤣🤣",2021-06-29T12:29:48Z
@mahirmochahari8910,🤣🤣🤣🤣🤣🤣🤣🤣🤣,2021-06-24T14:47:50Z
@majhdaarishq1527,Ghor kalyug,2021-06-24T14:20:50Z
@saurabhmishra2947,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=326"">5:26</a> best dialogue",2021-06-23T12:20:23Z
@sureshdhum2000,Behana veera 😂😂😂😂😂😂,2021-06-23T10:48:43Z
@woldinhindi6638,કાંતિભાઈ  મોરીખિયા નોખા,2021-06-22T08:10:59Z
@woldinhindi6638,કાંતિભાઈ  મોરીખિયા નોખા,2021-06-22T08:10:47Z
@krunalzala4205,💔💔💔💔😭😭😭😭😅😅😅😅,2021-06-20T10:20:41Z
@ajitthakare9552,😀😀😀😀😀😆,2021-06-20T04:08:54Z
@vijaygupta3307,ԅ( ͒ ۝ ͒ )ᕤ←(*꒪ヮ꒪*)(?・・)σ〈(•ˇ‿ˇ•)-→( ՞ਊ ՞）→(｡◕‿◕｡)➜(*❛‿❛)→⟵(๑¯◡¯๑),2021-06-19T11:20:09Z
@vijaygupta3307,#😂😂😂,2021-06-19T11:19:36Z
@rafiahmad4439,Hey MAA Mata Ji,2021-06-19T05:21:32Z
@smartykhan471,"Jija ji expreson <a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=563"">9:23</a>😂😂😂",2021-06-18T08:45:41Z
@fkofficials6773,I miss old episode&#39;s,2021-06-18T08:34:51Z
@ankitkamble18,May hai may hay 🤣😅🤣🤣🤣🤣,2021-06-17T18:06:27Z
@blacktiger701,Isko society mein koi chutiya samjane wala hai k nai dya ko kuch bhi mtlb,2021-06-17T17:42:58Z
@blacktiger701,7.50dekho toh kitni sidhe hai dono bhai behn woh jetha ki har bar gand marta hai woh kuchni.lagi kirne paun jive mrgya hunda koi,2021-06-17T17:33:23Z
@milindpowar8616,सुंदर लाल टोपी लाल है,2021-06-16T09:24:19Z
@jahiahmad2261,😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃,2021-06-15T11:38:30Z
@bharatkavad6422,op,2021-06-14T08:51:17Z
@tusharkhian62,Nice,2021-06-13T14:03:17Z
@vrushabhbarahate4224,Panoti🤣🤣🤣🤣,2021-06-10T04:50:41Z
@secretlove4572,Dost ho toh Mehta Sahab jaisa❤️,2021-06-08T18:29:08Z
@abdulwahabparkar9259,"REQUESTING}IF THESE above/below points are clicking u please take a head to toe bath wear preferably white clothes and go to your terrace all alone, look into skies, put your mind and heart there and say sorry my creator indeed U R THERE WATCHING ME SORRY SORRY My Lord Guide me please then see the benefits for u. keep on doing regularly till HE shows some signs. for more clarifications please write your email address.",2021-06-06T19:12:33Z
@abdulwahabparkar9259,"555)Our parents do not have any control on making a intelligent or dull brain + child&#39;s physique &amp; habits, (when in mother’s womb, “destiny”) then! Who that unseen super power administrating on it? jesus,ram,budha,muhammad and many others men kind who r being worshipped(except Muhammad) have never said so and claimed!?(no proof available)plz know the real one GOD for all through religion Islam (the most peaceful, if taken seriously).save your self from punishments of being ungrateful to HIM after death: plz discuss this aspect among your relatives and friends.",2021-06-06T19:12:17Z
@abdulwahabparkar9259,"4/Request)Its not simple to understand that all well known dignitaries (in the form of men kind) disappeared (death) after their achievements, similarly He the almighty Allah (religion Islam)also after creating the universe + the understanding mankind disappeared, thus He is highest in achievement to be remembered and top most has the authority only to be worshipped, glorified and regarded the most? plz discuss this aspect among your relatives and friends.",2021-06-06T19:11:57Z
@abdulwahabparkar9259,"3)Surely enough, it is impossible to believe that, unless some body not plans, analyze and work out the project, nothing comes in existence, then how the universe came to existence? And who behind that creation! Jesus, ram, budha, Muhammad and many others men kind who r being worshipped(except Muhammad) have never said so and claimed!?(no proof available)plz know the real one GOD for all through religion Islam (the most peaceful, if taken seriously).save your self from punishments of being ungrateful to HIM after death: plz discuss this aspect among your relatives and friends.",2021-06-06T19:11:38Z
@abdulwahabparkar9259,"REQUESTING}IF THESE above/below points are clicking u please take a head to toe bath wear preferably white clothes and go to your terrace all alone, look into skies, put your mind and heart there and say sorry my creator indeed U R THERE WATCHING ME SORRY SORRY My Lord Guide me please then see the benefits for u. keep on doing regularly till HE shows some signs. for more clarifications please write your email address.",2021-06-06T19:10:42Z
@sunilparmar7785,😂😂,2021-06-06T18:02:20Z
@mzaki8310,प्रताड़ित पति,2021-06-03T11:22:07Z
@kushagrasinghchandel834,Bekar bakvash bhangar 😁😁😁,2021-05-31T17:11:46Z
@sushivlog-xb2vl,Old is gold,2021-05-31T16:36:35Z
@lovelyboysonu3471,Bol bena bol best dialogue 😂😂,2021-05-30T05:39:45Z
@RajuSingh-qk7us,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2021-05-29T08:14:19Z
@tikumankar,🤣🤣🤣🤣😂😂😂😂😂,2021-05-28T16:54:07Z
@ChandanAryaRam,😂😂😁,2021-05-28T12:05:18Z
